unix,low,high,open,close,volume,date,vol_fiat
1635292800,179.761,205.599,199.911,184.682,2409699.187,2021-10-27,445028065.25353396
1635206400,196.446,214.163,209.585,199.857,1686387.215,2021-10-26,337036289.628255
1635120000,198.127,218.97,202.303,209.6,1982476.011,2021-10-25,415526971.90559995
1635033600,185.313,205.0,197.71,202.304,1541736.74,2021-10-24,311899509.44896
1634947200,192.017,205.719,196.246,197.707,1343191.296,2021-10-23,265558321.558272
1634860800,188.025,215.0,190.501,196.247,3388534.536,2021-10-22,664989737.086392
1634774400,176.759,194.415,176.759,190.473,3159255.295,2021-10-21,601752833.804535
1634688000,155.144,176.89,155.852,176.787,1543942.471,2021-10-20,272948957.620677
1634601600,153.183,159.4,157.125,155.85,701464.136,2021-10-19,109323185.59560001
1634515200,155.0,162.952,160.132,157.15,770654.878,2021-10-18,121108414.0777
1634428800,153.2,167.5,157.615,160.097,934358.565,2021-10-17,149588003.180805
1634342400,156.578,164.766,163.193,157.562,663795.43,2021-10-16,104588935.54166001
1634256000,146.75,165.268,150.026,163.214,1745195.785,2021-10-15,284840384.85299
1634169600,147.318,155.65,148.068,150.016,1147763.989,2021-10-14,172182962.573824
1634083200,144.344,155.549,152.441,148.039,1172944.074,2021-10-13,173641467.77088597
1633996800,137.66,153.626,144.854,152.452,2273847.701,2021-10-12,346652629.712852
1633910400,140.175,154.0,147.637,144.853,1380478.104,2021-10-11,199966394.79871202
1633824000,145.67,158.554,156.783,147.624,868755.423,2021-10-10,128249150.56495199
1633737600,154.23,161.581,158.858,156.827,1039124.53,2021-10-09,162962782.66631
1633651200,152.368,169.0,154.355,158.833,1679953.047,2021-10-08,266831982.314151
1633564800,150.35,161.5,153.949,154.338,1709809.442,2021-10-07,263888569.659396
1633478400,150.29,165.527,164.679,153.922,2138586.249,2021-10-06,329175472.61857796
1633392000,160.0,170.25,167.231,164.623,1500271.579,2021-10-05,246979208.14971697
1633305600,162.102,173.151,173.15,167.212,1442327.633,2021-10-04,241174488.16919598
1633219200,165.537,177.935,169.057,173.129,1326862.196,2021-10-03,229718325.131284
1633132800,156.24,175.108,161.682,168.979,1698493.988,2021-10-02,287009815.598252
1633046400,138.242,165.0,141.358,161.649,2216533.667,2021-10-01,358300450.736883
1632960000,134.069,142.951,135.241,141.358,1465567.481,2021-09-30,207169687.97919798
1632873600,131.101,140.156,132.214,135.304,1627779.074,2021-09-29,220245019.828496
1632787200,128.167,139.484,136.378,132.182,1352512.649,2021-09-28,178777826.970118
1632700800,133.75,149.0,135.632,136.35,1726577.772,2021-09-27,235418879.21220002
