date,open,close,high,low,volume,symbol
2021-10-19,62042.4,64303.14,64500.0,61333.0,17380.30486176,BTC/USD
2021-10-18,61530.07,62042.41,62675.19,59887.74,19798.1489024,BTC/USD
2021-10-17,60867.05,61527.11,61744.17,58943.83,9153.32273471,BTC/USD
2021-10-16,61690.32,60877.42,62350.0,60139.01,10161.25819825,BTC/USD
2021-10-15,57359.51,61695.39,62910.0,56867.11,27105.19764492,BTC/USD
2021-10-14,57367.32,57359.51,58520.71,56832.32,12198.02457938,BTC/USD
2021-10-13,56005.1,57367.32,57771.33,54236.09,14691.01338574,BTC/USD
2021-10-12,57485.97,56005.1,57674.55,53873.78,15457.00896085,BTC/USD
2021-10-11,54683.09,57487.44,57833.23,54411.54,13422.42081815,BTC/USD
2021-10-10,54963.29,54690.53,56545.24,54112.95,9370.1912382,BTC/USD
2021-10-09,53965.18,54962.29,55500.0,53675.0,7123.05512404,BTC/USD
2021-10-08,53805.46,53963.82,56113.0,53634.41,12416.9019906,BTC/USD
2021-10-07,55346.95,53797.82,55356.85,53379.0,15820.83417633,BTC/USD
2021-10-06,51499.77,55339.48,55757.11,50416.01,25869.64925998,BTC/USD
2021-10-05,49244.13,51493.99,51906.23,49057.18,17828.59726658,BTC/USD
2021-10-04,48233.99,49245.54,49505.0,46916.7,13938.64182971,BTC/USD
2021-10-03,47663.74,48233.99,49300.0,47120.11,7989.25925892,BTC/USD
2021-10-02,48165.76,47657.69,48359.33,47451.0,7262.63442143,BTC/USD
2021-10-01,43828.89,48165.76,48500.0,43287.44,20095.33155568,BTC/USD
2021-09-30,41519.11,43824.43,44110.17,41409.67,12835.9838101,BTC/USD
2021-09-29,41030.19,41522.16,42638.99,40750.12,10303.30152312,BTC/USD
2021-09-28,42166.31,41026.07,42780.0,40897.7,10491.81363045,BTC/USD
2021-09-27,43172.17,42171.76,44366.96,42111.0,10094.77099806,BTC/USD
2021-09-26,42705.51,43178.02,43937.0,40803.0,9971.64545213,BTC/USD
